epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
103,256.956,1.23633,1.61193,0.78341,0.97481,0,0.84132,0.52159,0.59487,0.3322,0.81937,0.5082,0.57775,0.30783,1.48184,2.62805,0.89556,1.07417,0,0.0006536,0.0006536,0.0006536
104,259.076,1.27221,1.6367,0.80681,0.97533,0,0.84132,0.52159,0.59487,0.3322,0.81937,0.5082,0.57775,0.30783,1.48184,2.62805,0.89556,1.07417,0,0.0006404,0.0006404,0.0006404
105,261.221,1.21978,1.71038,0.76441,0.97159,0,0.75983,0.51875,0.58591,0.32791,0.86975,0.5082,0.59366,0.32223,1.4958,2.6328,0.88972,1.0752,0,0.0006272,0.0006272,0.0006272
106,263.329,1.27761,1.64209,0.79389,0.96533,0,0.75983,0.51875,0.58591,0.32791,0.86975,0.5082,0.59366,0.32223,1.4958,2.6328,0.88972,1.0752,0,0.000614,0.000614,0.000614
107,265.719,1.21298,1.56367,0.76373,0.95978,0,0.72681,0.52459,0.58932,0.32661,0.7801,0.4918,0.5934,0.30856,1.49921,2.64657,0.90113,1.09013,0,0.0006008,0.0006008,0.0006008
108,267.723,1.17723,1.47021,0.74648,0.94041,0,0.72681,0.52459,0.58932,0.32661,0.7801,0.4918,0.5934,0.30856,1.49921,2.64657,0.90113,1.09013,0,0.0005876,0.0005876,0.0005876
109,269.895,1.20144,1.5788,0.74566,0.94826,0,0.70568,0.52459,0.57039,0.3217,0.8135,0.47541,0.60151,0.30875,1.51882,2.6509,0.88558,1.10068,0,0.0005744,0.0005744,0.0005744
110,271.98,1.25686,1.80672,0.82412,0.97479,0,0.70568,0.52459,0.57039,0.3217,0.8135,0.47541,0.60151,0.30875,1.51882,2.6509,0.88558,1.10068,0,0.0005612,0.0005612,0.0005612
111,274.077,1.22447,1.61879,0.77231,0.94669,0,0.71256,0.52836,0.58215,0.31698,0.7924,0.5082,0.61499,0.31827,1.56058,2.67351,0.901,1.10172,0,0.000548,0.000548,0.000548
112,276.19,1.22367,1.60712,0.76959,0.96121,0,0.71256,0.52836,0.58215,0.31698,0.7924,0.5082,0.61499,0.31827,1.56058,2.67351,0.901,1.10172,0,0.0005348,0.0005348,0.0005348
113,278.265,1.2069,1.47559,0.76627,0.94414,0,0.73407,0.5082,0.58251,0.30729,0.83274,0.52459,0.59917,0.30579,1.61549,2.665,0.90979,1.12112,0,0.0005216,0.0005216,0.0005216
114,280.385,1.16601,1.54525,0.73239,0.94633,0,0.73407,0.5082,0.58251,0.30729,0.83274,0.52459,0.59917,0.30579,1.61549,2.665,0.90979,1.12112,0,0.0005084,0.0005084,0.0005084
115,282.519,1.18689,1.52048,0.72341,0.95689,0,0.73326,0.54098,0.59585,0.30479,0.9355,0.47558,0.60596,0.31483,1.6519,2.6203,0.89536,1.14132,0,0.0004952,0.0004952,0.0004952
116,284.574,1.08376,1.49133,0.67818,0.93196,0,0.73326,0.54098,0.59585,0.30479,0.9355,0.47558,0.60596,0.31483,1.6519,2.6203,0.89536,1.14132,0,0.000482,0.000482,0.000482
117,286.66,1.15854,1.45768,0.75252,0.96498,0,0.72097,0.57377,0.60209,0.32043,0.80983,0.4918,0.60797,0.30624,1.64427,2.62045,0.90045,1.14701,0,0.0004688,0.0004688,0.0004688
118,288.68,1.18496,1.4864,0.73786,0.94459,0,0.72097,0.57377,0.60209,0.32043,0.80983,0.4918,0.60797,0.30624,1.64427,2.62045,0.90045,1.14701,0,0.0004556,0.0004556,0.0004556
119,290.803,1.17475,1.52426,0.73441,0.97504,0,0.70463,0.58666,0.60395,0.3241,0.82768,0.5082,0.62528,0.31747,1.62147,2.58075,0.87648,1.16998,0,0.0004424,0.0004424,0.0004424
120,292.937,1.2396,1.55063,0.79162,0.97264,0,0.70463,0.58666,0.60395,0.3241,0.82768,0.5082,0.62528,0.31747,1.62147,2.58075,0.87648,1.16998,0,0.0004292,0.0004292,0.0004292
121,295.054,1.16506,1.44516,0.71231,0.96302,0,0.70893,0.59898,0.60944,0.33969,0.8632,0.52459,0.62096,0.31654,1.57333,2.60107,0.85986,1.15861,0,0.000416,0.000416,0.000416
